Resource ID,Resource Name,Resource URL,Description,Archived,Format,Type,Runtime,Subject Areas,Authoring Organization,Intended Audiences,Record Modified,Resource Revised
L004181112,Discovering Molecular Mechanisms of Genetic Disorders with NCBI Resources,https://www.nlm.nih.gov/ncbi/workshops/2023-05_genetic-disorder-mechanisms/workshop-details.html,"The use of genetic testing in patient care is becoming more common in clinical practice. NCBI has long had resources for biologists to explore what is known about genomes, genes and genetic variations. By linking these with newer resources designed to assist the clinical community, it is now often possible to glean an understanding of how a patient’s genetic variant may be impacting their particular biology.",false,HTML,Webinar Source Page,177,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,06/13/2023 12:00:00 AM,05/23/2023 12:00:00 AM
L000932112,"Don't do it alone! Starting, sustaining, and assessing partnership-driven health programming at your library, Kernel of Knowledge",https://youtu.be/bbcNuOAb2_8,"The U.S Institute of Museum and Library Services recently challenged museums and libraries to transform how they collaborate with their communities. This webinar focuses on how pubic libraries answer this call to action by partnering with institutions, groups, and individuals in their communities to offer high-impact health programming. Based on research conducted as part of Let's Move in Libraries (2), his ongoing blog series published by the ALA Public Programs Office on partnership-driven health programming (3) , and as part of a new project focused on how libraries contribute to food justice, Dr. Lenstra will provide on overview of strategies and tactics libraries use to start, sustain, and assess partnership-driven health programming. Particular attention will be given to small and rural libraries. Topics to be covered include: Finding the time to partner, identifying partners, joining community coalitions & task-forces, and leveraging partnerships to secure external funding and resources for your library. These topics will be illustrated through in-depth examples of actual public libraries from across the country engaged in ongoing partnership-driven health programming.   Bio: Dr. Noah Lenstra, MLIS is an assistant professor of Library and Information Studies at the University of North Carolina Greensboro, and the founder and director of Let's Move in Libraries, an international initiative to get people of all ages and abilities moving through public libraries. He was a member of the PLA Promoting Healthy Communities Advisory Group (2017-2018). His research on these topics has been published in Library Quarterly, Evidence Based Library and Information Practice, Journal of Library Administration, Advances in Library Administration and Organization and Public Library Quarterly. He has presented on increasing physical activity through libraries at the Association for Rural and Small Libraries (ARSL), the Association for Library Services to Children (ALSC), the North Carolina Library Association (NCLA), the Azalea Coast Library Association, the Atlantic Provinces Library Association, and at the Nebraska State Library's Big Talk from Small Libraries online conference. He received his PhD in Library and Information Science in 2016 from the University of Illinois. He wrote the Forward for the recently published (May 2018) handbook Get Your Community Moving: Physical Literacy Programs for All Ages, written by library director Jenn Carson, and published by ALA Editions. Let's Move in Libraries is a partner organization in the National Institute on Aging's Go4Life initiative, and Lenstra is an Affiliated Faculty Member in the UNCG Gerontology Department. He has run three marathons and hopes to keep running for the rest of his life. Get involved and get moving at http://letsmovelibraries.org/. 1. https://www.imls.gov/issues/national-initiatives/community-catalyst-init...2. http://letsmovelibraries.org/3. http://www.programminglibrarian.org/users/nlenstra",false,MP4 Video,Webinar,61,Consumer Health,Network of the National Library of Medicine,User; Trainer,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L004162112,Downloading NCBI Biological Data and Creating Custom Reports Using the Command Line,https://www.nlm.nih.gov/ncbi/workshops/2023-04_custom-reports/workshop-details.html,"In this workshop you will learn to use both the EDirect suite and the Datasets CLI to download gene sequences, genome assemblies and their associated metadata, and create custom reports that cross reference biological features and sequence data.",false,HTML,Webinar Source Page,108,Genetics and Molecular Biology; Data Science; NCBI Workshops,"Training Team, NCBI",User; Trainer,05/15/2023 12:00:00 AM,05/12/2023 12:00:00 AM
L003343112,Dream Anatomy - Lesson Plans,https://www.nlm.nih.gov/exhibition/dreamanatomy/educatorscorner.html,"Dream Anatomy showcases anatomical illustrations created by anatomists and artists of the Western world during the past 500 years. Images and curatorial narrations provide insight into the beginning and development of the science and art of human anatomy. The Lesson Plans are designed with middle and high school students in mind. Focusing on specific themes of Dream Anatomy, the lesson plans help educators introduce to students diverse and intellectual exhibition topics. Educators may use the lesson plans as suggested or modify them to meet curriculum-specific learning objectives.",false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,05/01/2014 12:00:00 AM
L003645112,Drive-Thru Data: Using NLM APIs to Access Information Fast,https://www.nlm.nih.gov/oet/ed/api/2022_drive-thru_api.html,"On December 6, 2022, Mike Davidson from the Office of Engagement and Training hosted Drive-Thru Data: Using NLM APIs to Access Information Fast. This webinar is aimed at librarians and other information professionals who are familiar with NLM's products and services, but want to explore NLM data in new ways.",false,HTML,Webinar Source Page,58,Data Management; Data Science,Office of Engagement and Training,User; Trainer,02/23/2023 12:00:00 AM,12/14/2022 12:00:00 AM
L001041112,Drug Terminologies and RxNorm,https://www.nnlm.gov/training/class/drug-terminologies-and-rxnorm,"This one-hour training session with videos and exercises is intended to introduce you to the basic concepts of medical terminologies, with a specific focus on NLM's drug terminology RxNorm.",false,HTML,On-Demand Course,60,Drugs and Chemicals; RxNorm; Terminology; Data Management; Data Science,Office of Engagement and Training,User; Trainer; Developer,10/21/2022 12:00:00 AM,09/01/2019 12:00:00 AM
L002424112,Drug and Chemical Information - On Demand,https://www.nnlm.gov/training/class/drug-and-chemical-information-demand,"Earn up to 6 hours of CE credit in this on-demand class. Learn about NLM resources that provide drug and chemical information for consumers and healthcare professionals, from interactions to adverse effects to clinical trial results. While you work through interactive hands-on scenarios, you’ll learn about the drug and chemical information-seeking habits of your patrons, helpful reference interview questions to ask, and how to efficiently navigate this unique information landscape.",false,HTML,On-Demand Course,320,Drugs and Chemicals; MedlinePlus; PubMed; PubChem,Office of Engagement and Training,User; Trainer,10/21/2022 12:00:00 AM,09/15/2021 12:00:00 AM
L004301112,"Drug and Chemical Information 1. Using, Providing and Prescribing Medications",https://www.nnlm.gov/training/class/drug-and-chemical-information-1-using-providing-and-prescribing-medications,"This online, self-paced course introduces librarians to the NLM drug and chemical information for consumers and healthcare professionals. Hands-on exercises show learners how to locate safety information, medication side effects, and drug-drug or drug-food interactions in MedlinePlus.gov and how to find FDA labeling in DailyMed.gov. Authentic problem-based scenarios offer focused practice for learners who assist library users with their prescription medication, over-the-counter drug, and dietary supplement information needs.",false,HTML,On-Demand Course,,Drugs and Chemicals; MedlinePlus,Office of Engagement and Training,User; Trainer,07/14/2023 12:00:00 AM,07/14/2023 12:00:00 AM
L004302112,"Drug and Chemical Information 2. Finding Properties, Effects, and Interactions",https://www.nnlm.gov/training/class/drug-and-chemical-information-2-finding-properties-effects-and-interactions,"This online, self-paced course is intended to introduce librarians to the NLM resources that provide in-depth drug and chemical information, from adverse effects to molecular properties, for healthcare professionals and researchers. Through hands-on exercises, learners will practice locating chemical properties, including structures and interactions, in PubChem; toxicity information in LiverTox and LactMed; toxicological reviews in Bookshelf; and the latest research about adverse effects in PubChem. Participants will practice their new skills in authentic problem-based scenarios focused on assisting library users with their clinical and research information needs.",false,HTML,On-Demand Course,,Drugs and Chemicals; PubChem,Office of Engagement and Training,User; Trainer,07/14/2023 12:00:00 AM,07/14/2023 12:00:00 AM
L004303112,Drug and Chemical Information 3. Exploring New Drug Research,https://www.nnlm.gov/training/class/drug-and-chemical-information-3-exploring-new-drug-research,"This online, self-paced course is intended to introduce librarians to the NLM resources that provide drug and chemical information for healthcare professionals and researchers conducting systematic reviews or other in-depth research. Through hands-on exercises, learners will practice advanced PubMed search techniques using the MeSH vocabulary to find the latest research about drugs and chemicals, including clinical trials. Participants will practice their new skills in authentic problem-based scenarios focused on assisting library users with their clinical and research information needs.",false,HTML,On-Demand Course,,Drugs and Chemicals; Medical Subject Headings (MeSH); PubMed,Office of Engagement and Training,User; Trainer,07/14/2023 12:00:00 AM,07/14/2023 12:00:00 AM
L00583080,EDirect: Bringing the E-utilities to the UNIX Command Line,https://youtu.be/BLnYW33Mtb0?list=PLH-TjWpFfWruAGHnEda2gtBENVQPBCwem,"NCBI's Entrez Direct (EDirect) provides a simple, easy-to-use, command-line interface to the the E-Utilites, the API to NCBI's Entrez database system. EDirect allows execution of all E-Utility functions and provides additional filtering and output parsing capabilities without the requirement to write a Python or Perl script. This webinar will show you how to use the E-Direct programs to search, retrieve and process literature and molecular data from NCBI and will show you how to set-up simple pipelines for common tasks. In 4 parts.",false,MP4 Video,Webinar,50,Bioinformatics,"Training Team, NCBI",User,05/28/2020 12:00:00 AM,05/12/2016 12:00:00 AM
L000802112,EDirect: Command Line Access to NCBI's Biomolecular Databases,ftp://ftp.ncbi.nlm.nih.gov/pub/education/Mod_Workshops/2016/EDirect_VCU_July/,"The EDirect suite of programs allows easy command line access for searching and retrieving literature (PubMed) and accessing NCBI's biomolecular (Gene, Nucleotide, sequence databases, etc.) records. Its advantages include direct command-line access to NCBI's databases without writing Perl or Python scripts, construction of custom pipelines for processing data, built-in batch access, and the ability to generate highly flexible custom output reports. During the first hour of this workshop, you will learn some basic knowledge about how to use the Unix/Linux command line interface. The second part of the workshop will cover how to use EDirect to set-up simple pipelines to retrieve and process data from PubMed, Gene, and the Nucleotide and Protein sequence databases. Access to EDirect installed in a Linux environment on a cloud service will be provided.",false,PDF,Document,,Genetics and Molecular Biology; My NCBI; PubMed,"Training Team, NCBI",User; Trainer,11/28/2018 12:00:00 AM,07/26/2016 12:00:00 AM
L003237112,Easy Access to Data with NLM's NCBI Datasets!,https://www.youtube.com/watch?v=L4vn1426Pu8,This video highlights some new web pages for finding genomic sequence and metadata for your organisms of interest; focusing on recent improvements for searching genome and gene data,false,MP4 Video,YouTube Video,4,Genetics and Molecular Biology; Other,"Training Team, NCBI",User; Trainer,10/26/2022 12:00:00 AM,08/12/2022 12:00:00 AM
L001665112,Effective Health Communication and Health Literacy: Understanding the Connection,https://www.nnlm.gov/training/class-catalog/effective-health-communication-and-health-literacy-understanding-connection,"How are health communication and health literacy connected? How can you be more effective in providing health information to consumers, patients, clients, library patrons and your community?  This 1 hour webinar introduces the concepts of health literacy and health communication, outlines components of clear health communication, and identifies online resources from NLM, government agencies and other recognized resources for health literacy and health communication.",false,HTML,Webinar Source Page,60,MedlinePlus; Consumer Health,Network of the National Library of Medicine,User; Trainer,01/06/2023 12:00:00 AM,01/06/2023 12:00:00 AM
L002301112,ElasticBLAST: Using the Power of the Cloud to Speed Up Science,https://www.youtube.com/watch?v=topBozEJGIk,Presentation on ElasticBLAST,false,MP4 Video,YouTube Video,7,Genetics and Molecular Biology,"Training Team, NCBI",User; Trainer,10/26/2022 12:00:00 AM,07/28/2021 12:00:00 AM
L000928112,Establishing a Health Information Literacy Partnership with a Local Public Library,https://youtu.be/gepf_Xa4hNM,"Hear about the successes and challenges of pursuing public library partnerships at the Oakland University William Beaumont School of Medicine Library in the metro Detroit area. This webinar will share the journey of establishing a partnership with Auburn Hills Public Library including how to create interdisciplinary collaborations and determine pilot programs as well as the lessons learned and future directions of the partnership.Stephanie Swanberg is Associate Professor, Information Literacy and eLearning Librarian at the Oakland University William Beaumont School of Medicine (OUWB for short!) in Rochester, MI. Stephanie's primary responsibilities include designing & delivering instructional sessions for medical students and faculty in information searching, organization, and synthesis, leading the library's outreach and community engagement activities, and providing research consultations medical student research projects including serving as a systematic review mentor.",false,MP4 Video,YouTube Video,59,Consumer Health,Network of the National Library of Medicine,User,06/23/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L00578080,Eukaryotic Genome Data Curation at NCBI,https://youtu.be/cAh6-BALiT8,"What do a fish, a plant, and a protozoan have in common? These are all example organisms for which NCBI Reference Sequence (RefSeq) staff manually examine and improve the scientific data in NCBI Assembly, Gene, Genome, and RefSeq (among other) databases. The RefSeq project spans viruses to human and in this webinar, three RefSeq biocurators will focus on aspects of data curation for eukaryotic organisms. We will discuss several aspects of manual curation including sequence analysis, functional annotation, data validation and community collaboration. We will also highlight how these curation efforts improve the programmatic approaches used by RefSeq genome annotation pipelines, which allow NCBI to handle the ever-increasing amount of data generated by researchers.",false,MP4 Video,Webinar,60,Genetics and Molecular Biology; Bioinformatics; Developmental Biology; Microbiology; Immunology; Agriculture; Cancer,"Training Team, NCBI",User,05/28/2020 12:00:00 AM,05/27/2016 12:00:00 AM
L001922112,"Evaluating Information during COVID-19: Preprints, Retractions, Politics, Rumors, and More",https://youtu.be/XpLFd70S7PM,"Librarians Erica Brody and Hillary Miller discuss the quickly shifting landscape of information during the COVID-19 pandemic. Topics of discussion include descriptions of the types of current information related to research on COVID-19, a review of the progression of information about hydroxychloroquine, and the consequences of the hydroxychloroquine information explosion.",false,MP4 Video,YouTube Video,57,Preprints,Network of the National Library of Medicine,User,12/16/2020 12:00:00 AM,11/16/2020 12:00:00 AM
L00215080,Evaluating Internet Health Information,https://medlineplus.gov/webeval/webeval.html,A tutorial on how to evaluate the health information that you find on the Web.,false,HTML,Tutorial,16,K-12 Education; MedlinePlus,"MedlinePlus Team, LO/PSD/RWS",User,02/09/2021 12:00:00 AM,03/06/2020 12:00:00 AM
L002364112,Evaluation Pathways: A Webinar Series,https://www.nnlm.gov/training/class-catalog/evaluation-pathways-webinar-series,A 5-part recorded webinar series on evaluation pathways for NNLM members who are implementing community projects.,false,HTML,Webinar Source Page,,Other; Data Management,Network of the National Library of Medicine,User; Trainer,10/21/2022 12:00:00 AM,08/24/2021 12:00:00 AM
L003353112,Every Necessary Care and Attention: George Washington & Medicine - Lesson Plans,https://www.nlm.nih.gov/exhibition/georgewashington/education/index.html,This resources offers examples of how the rich content and primary sources in the exhibition can be used to promote students' developing content knowledge as well as higher order thinking skills.,false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L003141112,Exploring 3D Molecular Structures with NCBI Tools,https://www.nlm.nih.gov/oet/ed/ncbi/2022_04_3DMolecular.html,"On April 5, 2022, the NCBI Education Team provided the workshop: Exploring 3D Molecular Structures with NCBI Tool. Training materials from this event are available on this page.",false,HTML,Webinar Source Page,135,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,07/15/2022 12:00:00 AM,04/05/2022 12:00:00 AM
L004041112,Exploring 3D Molecular Structures with iCn3D,https://www.nlm.nih.gov/ncbi/workshops/2023-03_3d-molecular-structures/workshop-details.html,"The amount of biomolecular structure data produced by researchers is growing rapidly and helping push scientific discovery. Knowledge of biomolecular structure helps scientists understand how the structure works and this knowledge can be used to influence function, predict binding partners, and understand biological pathways. As such, researchers in life sciences can benefit from an increased understanding of biomolecular structure and resources that build upon structural data, which is the focus of this workshop.",false,HTML,Webinar Source Page,90,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,04/05/2023 12:00:00 AM,04/04/2023 12:00:00 AM
L003521112,Exploring 3D Molecular Structures with iCn3D,https://www.nlm.nih.gov/ncbi/workshops/2022-10_3d-molecular-structures/workshop-details.html,"The amount of biomolecular structure data produced by researchers is growing rapidly and helping push scientific discovery. Knowledge of biomolecular structure helps scientists understand how the structure works and this knowledge can be used to influence function, predict binding partners, and understand biological pathways. As such, researchers in life sciences can benefit from an increased understanding of biomolecular structure and resources that build upon structural data, which is the focus of this workshop.",false,HTML,Webinar Source Page,108,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,11/29/2022 12:00:00 AM,10/18/2022 12:00:00 AM
L004462112,Exploring Evolutionary Relationships Using BLAST,https://www.nlm.nih.gov/ncbi/workshops/2023-08_BLAST_evol/workshop_details.html,"Identification of evolutionarily related DNA or protein sequences (homologs) is a crucial step in many biology workflows. For example, homologous sequences are used to infer relationships between organisms, understand how sequence changes affect observable traits, and identify potential animal models for genetic disorders.   NCBI’s BLAST program is a standard tool for identifying homologs, and this virtual workshop will teach you best practices for using it for your analysis goals. You will learn when and how to use important but often misunderstood aspects of the BLAST programs and databases, such as when it’s helpful to change the BLAST program by using filters and adjusting parameters such as word size, e-value cutoff, and maximum target sequences.",false,HTML,Webinar Source Page,113,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,08/25/2023 12:00:00 AM,08/24/2023 12:00:00 AM
L004322112,Exploring the Relationship Between Two Eukaryotic Genomes Using the Comparative Genome Viewer,https://www.nlm.nih.gov/ncbi/workshops/2023-07_comparative-genome-viewer/workshop_details.html,"The Comparative Genome Viewer (CGV) is a visualization tool that helps you quickly compare two genomes based on assembly-assembly alignments provided by NCBI. CGV includes eukaryotic (animal, plant and fungal) assemblies, and many cross-species comparisons. You can view chromosome-scale rearrangements, search for genes, and display aligned regions at the sequence level.",false,HTML,Webinar Source Page,101,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,07/25/2023 12:00:00 AM,07/25/2023 12:00:00 AM
L00653080,Final Rule for Clinical Trials Registration and Results Information Submission Webinar Series - 2020,https://clinicaltrials.gov/ct2/manage-recs/present#FinalRuleWebinar,A series of three live webinars provided responsible parties with information about the Final Rule for Clinical Trials Registration and Results Information Submission (42 CFR Part 11).,false,HTML,Page,180,ClinicalTrials.gov,"ClinicalTrials.gov Team, NCBI",User,05/12/2023 12:00:00 AM,04/01/2020 12:00:00 AM
L002981112,Finding & Organizing NCBI Data for your Research Project,https://www.nlm.nih.gov/oet/ed/ncbi/2022_02_ncbidata.html,Workshop provides some tips for new users of NCBI databases on how to effectively search databases and use an NCBI Account to organize key literature and biological data records.,false,HTML,Webinar Source Page,113,My NCBI; NCBI Workshops,"Training Team, NCBI",User; Trainer,04/01/2022 12:00:00 AM,02/22/2022 12:00:00 AM
L002161112,Finding Data for Your Research Organism,https://www.youtube.com/watch?v=ku4YtjV3Sz4,Offers two demonstrations that show you have to find and analyze sequence data for non-model organism.,false,MP4 Video,YouTube Video,47,Terminology; Data Management,"Training Team, NCBI",User,04/29/2021 12:00:00 AM,03/15/2021 12:00:00 AM
L000701112,Finding and Using Health Statistics,https://www.nlm.nih.gov/oet/ed/stats/index.html,"This course describes the range of available health statistics, identifies their sources and helps you understand how to use information about their structure as you search.",false,HTML,Tutorial,,Health Services Research; Public Health; Data Science,Office of Engagement and Training,User,08/18/2023 12:00:00 AM,08/18/2023 12:00:00 AM
L003356112,Fire and Freedom: Food and Enslavement in Early America - Lesson Plans,https://www.nlm.nih.gov/exhibition/fireandfreedom/education/index.html,Fire and Freedom: Food and Enslavement in Early America presents the following classroom resources for K-12 and undergraduate educators and their students. These resources serve as templates for examining foodways with the historical context of European settlement and slavery during early America.,false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L000827112,Five Questions You Can Answer Using the NCBI Gene Database,https://www.youtube.com/watch?v=tGP_x9kKABM,"The Gene resource at NCBI is a central hub for accessing nearly all molecular and literature resources for a particular gene. You can easily answer the most common questions and perform the most common tasks by starting in Gene. In this webinar intended for librarians who support NCBI molecular databases, you will learn about the structure and contents of the Gene resource and how to use Gene to answer the following questions about a gene:Where is the gene located (chromosome and position) in the genome assembly?What are the Reference genomic, transcript and protein sequences for the gene?What variations are present in the gene and are they associated with disease?In what tissues and under what conditions is the gene expressed?What are the equivalent genes (homologs) in other species?",false,MP4 Video,YouTube Video,53,,Network of the National Library of Medicine,,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM
L000783112,Five ways to submit next-gen sequence data to NCBI's Sequence Read Archive (SRA),https://www.youtube.com/watch?v=VrkQUg8CrW0&feature=youtu.be,"In this webinar you will learn how to use five different ways to submit your next gen sequence data to NCBI's Sequence Read Archive. These include external submission services through Illumina's BaseSpace, MOTHUR (for microbial ecology data) and the iPlant Collaborative. In addition NCBI provides the new SRA submission portal and soon will offer the ability to upload data to SRA through FTP and the Aspera command line client in the new submission portal.",false,MP4 Video,YouTube Video,13,My NCBI; Data Science,"Training Team, NCBI",User,11/14/2018 12:00:00 AM,02/24/2016 12:00:00 AM
L003380112,Folleto tríptico de MedlinePlus,https://www.nnlm.gov/sites/default/files/2021-08/MedlinePLus%20Tri-Fold%20Spanish.pdf,Un folleto tríptico con información introductoria sobre MedlinePlus.,false,PDF,Document,,MedlinePlus,"MedlinePlus Team, LO/PSD/RWS",User; Trainer,10/21/2022 12:00:00 AM,07/01/2019 12:00:00 AM
L003357112,For All the People: A Century of Citizen Action in Health Care Reform - Lesson Plans,https://www.nlm.nih.gov/exhibition/forallthepeople/education/lessonplan.html,"Students first examine and categorize various types of information presented on an online source—“The Power of Medicine” from the For All the People online exhibition. They explore the web content and learn about how some people worked to expand access to health care to more people in the past. Students focus on two health professional leaders in the exhibition—Lillian Wald who founded the Henry Street Settlement, and Dr. Leonidas Berry who was a president of the National Medical Association. The lesson ends with an assignment where students work in small groups to research and prepare class presentations about Leonidas Berry or Lillian Wald.",false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L002886112,For Authors (PubMed Central),https://www.ncbi.nlm.nih.gov/pmc/about/submission-methods/,"This page aims to help authors determine whether their paper is eligible for submission to PMC, how it may be deposited, and by whom.",false,HTML,Help Page or FAQ,,PubMed Central; Public Access,"PubMed Central Team, NCBI",User,10/26/2022 12:00:00 AM,03/14/2022 12:00:00 AM
L002801112,Foundations of Citizen Science + Libraries as Community Hubs for Citizen Science,https://www.nnlm.gov/training/class-catalog/foundations-citizen-science-libraries-community-hubs-citizen-science,"What is citizen science? How can I get involved? This 2 hour, on-demand, online class from NNLM and SciStarter.org introduces citizen science for librarians, staff, and community-based organization leaders and includes clear, specific instructions and case studies on how a small, midsize, or large library or organization can bring citizen science activities and programs to their community. This tutorial is available in English and Spanish through scistarter.org.",false,HTML,On-Demand Course,120,Consumer Health; Public Health,Network of the National Library of Medicine,User; Trainer,10/21/2022 12:00:00 AM,10/01/2021 12:00:00 AM
L003345112,Frankenstein: Penetrating the Secrets of Nature - Lesson Plans,https://www.nlm.nih.gov/exhibition/frankenstein/education/index.html,Frankenstein: Penetrating the Secrets of Nature presents the following classroom resources for K-12 and undergraduate educators and their students. The resources offer templates for incorporating the exhibition’s scholarly content in order to help students learn by examining and analyzing primary- and secondary-source visual and textual materials. They promote students’ consideration of science and society as a whole and develop historical perspectives on how scientific endeavors influence as well as are shaped by society and culture. Educators are welcome to adapt these resources in whole or in part as they deem appropriate for students’ interests and learning goals.,false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,10/01/2014 12:00:00 AM
L003358112,From DNA To Beer: Harnessing Nature in Medicine and Industry - Lesson Plan,https://www.nlm.nih.gov/exhibition/fromdnatobeer/education/lesson-plans.html,"This lesson plan uses the “Living Factories” section of the From DNA to Beer site, so that students learn about how horses and other animals were used to develop and produce antitoxin serum in order to prevent children with diphtheria from dying of suffocation. Students learn about and define acquired and passive immunity in animals, as they explore the horse’s immune response to the diphtheria toxin injection and the horse’s antitoxin serum that could prevent death in diphtheria patients.  The lesson plan is developed in collaboration with Samantha Candia (Francis Scott Key Middle School, Silver Spring, MD), with contributions by the 2013 Teacher Institute Participants.",false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L000927112,From Movies to Meals: Senior Services and Spaces at Your Local Library,https://youtu.be/AxRh9UmHxz8,"Libraries often are the de facto senior centers of our growing - and aging - communities.  The Marion Public Library embraces this role through program design, community feedback, and strategic partnerships.  In addition to ""traditional"" library programming, the library works to meet the nutritional and social needs of seniors through twice-weekly congregate meals as well as a monthly mobile food pantry visit.Speakers:Dawn Cline is the Outreach Services Coordinator at the Marion Public Library. A Marion native, her work includes serving as the library liaison to multiple community groups. Cline was instrumental in bringing senior meals to the Marion Library Spring 2018.Madeline Jarvis is the Adult and Information Services Coordinator at the Marion Public Library. Her work includes overseeing tween, teen, and adult programming; collection development; and wearing many hats.",false,MP4 Video,Webinar,53,Senior Health,Network of the National Library of Medicine,User,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L001630112,From Problem to Prevention: Evidence-based public health,https://www.nnlm.gov/training/class-catalog/problem-prevention-evidence-based-public-health,"Curious about evidence-based public health (EBPH) but not sure where to start? This 1 hour webinar explains the basics of evidence-based public health (EBPH) and highlight essentials of the EBPH process such as identifying the problem, forming a question, searching the literature, and evaluating the intervention.  The purpose of this class is to provide an introduction to the world of evidence based public health and to give those already familiar with EBPH useful information that can be applied in their practices.Curious about evidence-based public health (EBPH) but not sure where to start? This 1 hour webinar explains the basics of evidence-based public health (EBPH) and highlight essentials of the EBPH process such as identifying the problem, forming a question, searching the literature, and evaluating the intervention.  The purpose of this class is to provide an introduction to the world of evidence based public health and to give those already familiar with EBPH useful information that can be applied in their practices.",false,HTML,On-Demand Course,60,Public Health,Network of the National Library of Medicine,User,10/21/2022 12:00:00 AM,02/26/2020 12:00:00 AM
L004243112,Fundamentals of Health Sciences Research Data Management,https://www.nnlm.gov/training/class-catalog/fundamentals-health-sciences-research-data-management,"This class is designed to provide information professionals, working in health sciences, with an introduction to research data management. The primary goal of this course is to improve your knowledge and skills in research data management and enable you to add or enhance research data management training and services at your institution.  This 8-week course will have participants read foundational texts in research data management, engage in discussions with other participants, complete assignments designed to improve knowledge and skills, and develop a final project of teaching a concept from the course or delivering a presentation on library roles in research data management.  Participants will work with course facilitators and community experts to complete course assignments and gain an understanding of the role of research data management in libraries.  When this class is offered, participation will be capped at 60, so if you are interested in applying to register for this course, please commit to spending 3 total hours per week engaging with the course readings and assignments.",false,HTML,Page,,Data Management,Network of the National Library of Medicine,User; Trainer,07/06/2023 12:00:00 AM,06/07/2023 12:00:00 AM
L00231080,Fundamentals of the NLM Classification Tutorial,https://www.nlm.nih.gov/tsd/cataloging/trainingcourses/classification/intro_010.html,A 9-module training course on using the NLM classification.,false,HTML,Tutorial,,NLM Classification,"Cataloging and Metadata Management Section, LO/TSD",User,04/19/2021 12:00:00 AM,04/16/2021 12:00:00 AM
L00608080,GEO2R: Analyze GEO Data,https://www.youtube.com/watch?v=EUPmGWS8ik0,A tutorial on how to use GEO2R to analyze microarray data in GEO and retrieve a list of differentially expressed genes.,false,MP4 Video,YouTube Video,5,Genetics and Molecular Biology; Developmental Biology; Microbiology; Immunology; Agriculture; Cancer,"Training Team, NCBI",User,06/15/2020 12:00:00 AM,04/23/2012 12:00:00 AM
L00596080,GenBank Submissions,https://www.youtube.com/playlist?list=PL7dF9e2qSW0ZqrXzouzddPYXXZdbr-RCz,"A series of webinars presented from December 17, 2014 to April 13, 2016 outlining use of BankIt, a web-based submission tool at NCBI to submit sequence data to the GenBank database.",false,MP4 Video,YouTube Video,58,Genetics and Molecular Biology; Bioinformatics; Developmental Biology; Microbiology; Immunology; Agriculture; Cancer,"Training Team, NCBI",User,10/13/2022 12:00:00 AM,03/05/2021 12:00:00 AM
L001763112,General Pilot FAQs,https://www.ncbi.nlm.nih.gov/pmc/about/nihpreprints-faq/#genfaq,"A look at some of the details of pilot implementation, such as inclusion in PubMed, and search strategies.",false,HTML,Page,,PubMed Central; Preprints,"PubMed Central Team, NCBI",User,01/25/2023 12:00:00 AM,01/24/2023 12:00:00 AM
L004501112,Genetic Testing Registry (GTR) Submission Portal Improvements,https://www.youtube.com/watch?v=FjdLZ8oWkEQ,This video describes improvements to the GTR Submission Portal. These changes are designed to streamline your submissions and provide a more intuitive submission experience. Detailed examples of the improvements are provided.,false,MP4 Video,YouTube Video,5,Genetics and Molecular Biology,"Training Team, NCBI",User; Trainer,09/25/2023 12:00:00 AM,09/19/2023 12:00:00 AM
L00604080,Genetic Testing Registry Tutorials,https://www.youtube.com/playlist?list=PL1C4A2AFF811F6F0B,"Tutorials on how to use NCBI's Genetic Testing Registry including navigating the home page, basic and advanced search functions, locating tests, and migrating laboratory and test data from GeneTests to GTR.",false,MP4 Video,YouTube Video,27,Genetics and Molecular Biology; Developmental Biology; Cancer,"Training Team, NCBI",User,06/15/2020 12:00:00 AM,03/20/2015 12:00:00 AM
